,type
14649,article-journal
14650,article-journal
14651,article-journal
14652,article-journal
14653,article-journal
14654,article-journal
14655,article-journal
14656,article-journal
14657,article-journal
14658,article-journal
14659,article-journal
14660,article-journal
14661,article-journal
14662,article-journal
14663,article-journal
14664,article-journal
14665,article-journal
14666,article-journal
14667,article-journal
14668,article-journal
14669,article-journal
14670,article-journal
14671,article-journal
14672,article-journal
14673,article-journal
14674,article-journal
14675,article-journal
14676,article-journal
14677,article-journal
14678,article-journal
14679,article-journal
14680,article-journal
14681,article-journal
14682,article-journal
14683,article-journal
14684,article-journal
14685,article-journal
14686,article-journal
14687,article-journal
14688,article-journal
14689,article-journal
14690,article-journal
14691,article-journal
14692,article-journal
14693,article-journal
14694,article-journal
14695,article-journal
14696,article-journal
14697,article-journal
14698,article-journal
14699,article-journal
14700,article-journal
14701,article-journal
14702,article-journal
14703,article-journal
14704,article-journal
14705,article-journal
14706,article-journal
14707,article-journal
14708,article-journal
14709,article-journal
14710,article-journal
14711,article-journal
14712,article-journal
14713,article-journal
14714,article-journal
14715,article-journal
14716,article-journal
14717,article-journal
14718,article-journal
14719,article-journal
14720,article-journal
14721,article-journal
14722,article-journal
14723,article-journal
14724,article-journal
14725,article-journal
14726,article-journal
14727,article-journal
14728,article-journal
14729,article-journal
14730,article-journal
14731,article-journal
14732,article-journal
14733,article-journal
14734,article-journal
14735,article-journal
14736,article-journal
14737,article-journal
14738,article-journal
14739,article-journal
14740,article-journal
14741,article-journal
14742,article-journal
14743,article-journal
14744,article-journal
14745,article-journal
14746,article-journal
14747,article-journal
14748,article-journal
14749,article-journal
14750,article-journal
14751,article-journal
14752,article-journal
14753,article-journal
14754,article-journal
14755,article-journal
14756,article-journal
14757,article-journal
14758,article-journal
14759,article-journal
14760,article-journal
14761,article-journal
14762,article-journal
14763,article-journal
14764,article-journal
14765,article-journal
14766,article-journal
14767,article-journal
14768,article-journal
14769,article-journal
14770,article-journal
14771,article-journal
14772,article-journal
14773,article-journal
14774,article-journal
14775,article-journal
14776,article-journal
14777,article-journal
14778,article-journal
14779,article-journal
14780,article-journal
14781,article-journal
14782,article-journal
14783,article-journal
14784,article-journal
14785,article-journal
14786,article-journal
14787,article-journal
14788,article-journal
14789,article-journal
14790,article-journal
14791,article-journal
14792,article-journal
14793,article-journal
14794,article-journal
14795,article-journal
14796,article-journal
14797,article-journal
14798,article-journal
14799,article-journal
14800,article-journal
14801,article-journal
14802,article-journal
14803,article-journal
14804,article-journal
14805,article-journal
14806,article-journal
14807,article-journal
14808,article-journal
14809,article-journal
14810,article-journal
14811,article-journal
14812,article-journal
14813,article-journal
14814,article-journal
14815,article-journal
14816,article-journal
14817,article-journal
14818,article-journal
14819,article-journal
14820,article-journal
14821,article-journal
14822,article-journal
14823,article-journal
14824,article-journal
14825,article-journal
14826,article-journal
14827,article-journal
14828,article-journal
14829,article-journal
14830,article-journal
14831,article-journal
14832,article-journal
14833,article-journal
14834,article-journal
14835,article-journal
14836,article-journal
14837,article-journal
14838,article-journal
14839,article-journal
14840,article-journal
14841,article-journal
14842,article-journal
14843,article-journal
14844,article-journal
14845,article-journal
14846,article-journal
14847,article-journal
14848,article-journal
14849,article-journal
14850,article-journal
14851,article-journal
14852,article-journal
14853,article-journal
14854,article-journal
14855,article-journal
14856,article-journal
14857,article-journal
14858,article-journal
14859,article-journal
14860,article-journal
14861,article-journal
14862,article-journal
14863,article-journal
14864,article-journal
14865,article-journal
14866,article-journal
14867,article-journal
14868,article-journal
14869,article-journal
14870,article-journal
14871,article-journal
14872,article-journal
14873,article-journal
14874,article-journal
14875,article-journal
14876,article-journal
14877,article-journal
14878,article-journal
14879,article-journal
14880,article-journal
14881,article-journal
14882,article-journal
14883,article-journal
14884,article-journal
14885,article-journal
14886,article-journal
14887,article-journal
14888,article-journal
14889,article-journal
14890,article-journal
14891,article-journal
14892,article-journal
14893,article-journal
14894,article-journal
14895,article-journal
14896,article-journal
14897,article-journal
14898,article-journal
14899,article-journal
14900,article-journal
14901,article-journal
14902,article-journal
14903,article-journal
14904,article-journal
14905,article-journal
14906,article-journal
14907,article-journal
14908,article-journal
14909,article-journal
14910,article-journal
14911,article-journal
14912,article-journal
14913,article-journal
14914,article-journal
14915,article-journal
14916,article-journal
14917,article-journal
14918,article-journal
14919,article-journal
14920,article-journal
14921,article-journal
14922,article-journal
14923,article-journal
14924,article-journal
14925,article-journal
14926,article-journal
14927,article-journal
14928,article-journal
14929,article-journal
14930,article-journal
14931,article-journal
14932,article-journal
14933,article-journal
14934,article-journal
14935,article-journal
14936,article-journal
14937,article-journal
14938,article-journal
14939,article-journal
14940,article-journal
14941,article-journal
14942,article-journal
14943,article-journal
14944,article-journal
14945,article-journal
14946,article-journal
14947,article-journal
14948,article-journal
